"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2010";"Mortalidade infantil 2010";"Taxa de analfabetismo - 15 anos ou mais 2010";"% de pobres 2010";"% de vulneráveis à pobreza 2010"
"Brasileira";"PI";2201960;70,1;27,5;36,63;33,7;60,16
"Brejo do Piauí";"PI";2201988;68,49;32,8;38,08;49,09;73,8
"Buriti dos Lopes";"PI";2202000;69,09;30,7;29,63;48,71;72,64
"Buriti dos Montes";"PI";2202026;71,78;22,7;32,29;54,09;72,37
"Cabeceiras do Piauí";"PI";2202059;71,11;24,5;33,63;46,24;68,73
"Cajazeiras do Piauí";"PI";2202075;70,1;27,6;30,61;45,69;72,97
"Cajueiro da Praia";"PI";2202083;69,36;29,8;32,67;53,52;78,51
"Caldeirão Grande do Piauí";"PI";2202091;69,63;29;34,75;45,56;69,03
"Campinas do Piauí";"PI";2202109;71,55;23,3;27,68;52,21;71,36
"Campo Alegre do Fidalgo";"PI";2202117;70,69;25,8;32,83;60,3;79,3
"Campo Grande do Piauí";"PI";2202133;68,23;33,6;36,39;42,89;66,39
"Campo Largo do Piauí";"PI";2202174;70,98;24,9;38,09;61,88;81,77
"Campo Maior";"PI";2202208;72,58;20,5;22,12;26,73;53,87
"Canavieira";"PI";2202251;71,67;23;26,93;46,03;71,16
"Canto do Buriti";"PI";2202307;68,41;33;29,69;39,77;65,95
"Capitão de Campos";"PI";2202406;71,35;23,9;31,42;41,95;66
"Capitão Gervásio Oliveira";"PI";2202455;68,51;32,7;31,92;54,85;78,48
"Caracol";"PI";2202505;71,23;24,2;35,34;53,68;75,35
"Caraúbas do Piauí";"PI";2202539;71,51;23,4;43,83;62,44;82,9
"Caridade do Piauí";"PI";2202554;67,89;34,8;32,22;49,1;76,33
"Castelo do Piauí";"PI";2202604;70,21;27,2;28,55;37,2;64,17
"Caxingó";"PI";2202653;67,5;36,2;43,76;56,8;78,5
"Cocal";"PI";2202703;67,72;35,4;35,77;55,61;76,65
"Cocal de Telha";"PI";2202711;71,78;22,7;33,4;40,86;67,59
"Cocal dos Alves";"PI";2202729;71,73;22,8;36,12;57,95;77,22
"Coivaras";"PI";2202737;68,92;31,3;31,74;41,27;71,37
"Colônia do Gurguéia";"PI";2202752;71,7;22,9;22,03;33,09;63,07
"Colônia do Piauí";"PI";2202778;71,34;23,9;34,89;38,35;63,09
"Conceição do Canindé";"PI";2202802;70,54;26,2;30,16;40,31;70,62
"Coronel José Dias";"PI";2202851;68,49;32,7;32,45;51,52;73,36
"Corrente";"PI";2202901;72,31;21,2;18,82;40,16;59,61
